
time 00h 31m 05s, episodes 21073, frames 1.1M, mean epr -8.24, run loss 139.96
time 00h 32m 05s, episodes 21336, frames 1.2M, mean epr -7.26, run loss 147.83
time 00h 33m 05s, episodes 21565, frames 1.2M, mean epr -7.14, run loss 144.29
time 00h 34m 05s, episodes 21795, frames 1.2M, mean epr -7.60, run loss 146.99
time 00h 35m 05s, episodes 22023, frames 1.3M, mean epr -8.34, run loss 130.94
time 00h 36m 05s, episodes 22229, frames 1.3M, mean epr -7.88, run loss 155.70
time 00h 37m 05s, episodes 22452, frames 1.3M, mean epr -7.86, run loss 144.77
time 00h 38m 05s, episodes 22667, frames 1.4M, mean epr -7.07, run loss 140.61
time 00h 39m 06s, episodes 22867, frames 1.4M, mean epr -6.53, run loss 150.25
time 00h 40m 06s, episodes 23049, frames 1.5M, mean epr -6.40, run loss 157.63
time 00h 41m 06s, episodes 23250, frames 1.5M, mean epr -6.41, run loss 160.23
time 00h 42m 06s, episodes 23424, frames 1.5M, mean epr -5.94, run loss 149.52
time 00h 43m 06s, episodes 23602, frames 1.6M, mean epr -4.85, run loss 161.41
time 00h 44m 06s, episodes 23768, frames 1.6M, mean epr -5.62, run loss 165.03
time 00h 45m 06s, episodes 23910, frames 1.6M, mean epr -4.25, run loss 166.66
time 00h 46m 06s, episodes 24092, frames 1.7M, mean epr -4.82, run loss 169.43
time 00h 47m 06s, episodes 24246, frames 1.7M, mean epr -4.84, run loss 173.79
time 00h 48m 06s, episodes 24410, frames 1.8M, mean epr -4.61, run loss 175.02
time 00h 49m 06s, episodes 24562, frames 1.8M, mean epr -4.53, run loss 168.26
time 00h 50m 06s, episodes 24716, frames 1.8M, mean epr -5.12, run loss 160.94
time 00h 51m 06s, episodes 24853, frames 1.9M, mean epr -3.49, run loss 171.76
time 00h 52m 07s, episodes 25000, frames 1.9M, mean epr -5.01, run loss 166.27
time 00h 53m 07s, episodes 25149, frames 1.9M, mean epr -4.42, run loss 165.82
time 00h 54m 07s, episodes 25287, frames 2.0M, mean epr -3.96, run loss 180.10

	2M frames: saved model

time 00h 55m 07s, episodes 25447, frames 2.0M, mean epr -4.91, run loss 162.30
time 00h 56m 07s, episodes 25591, frames 2.0M, mean epr -5.82, run loss 155.94
time 00h 57m 07s, episodes 25723, frames 2.1M, mean epr -4.80, run loss 170.40
time 00h 58m 08s, episodes 25877, frames 2.1M, mean epr -4.59, run loss 162.59
time 00h 59m 08s, episodes 26014, frames 2.2M, mean epr -2.87, run loss 181.20
time 01h 00m 08s, episodes 26160, frames 2.2M, mean epr -4.04, run loss 171.12
time 01h 01m 08s, episodes 26304, frames 2.2M, mean epr -3.16, run loss 177.76
time 01h 02m 08s, episodes 26431, frames 2.3M, mean epr -3.15, run loss 194.51
time 01h 03m 08s, episodes 26567, frames 2.3M, mean epr -3.58, run loss 197.22
time 01h 04m 09s, episodes 26704, frames 2.3M, mean epr -3.37, run loss 192.68
time 01h 05m 09s, episodes 26843, frames 2.4M, mean epr -4.55, run loss 185.00
time 01h 06m 09s, episodes 26971, frames 2.4M, mean epr -3.17, run loss 177.89
time 01h 07m 09s, episodes 27108, frames 2.5M, mean epr -2.48, run loss 183.24
time 01h 08m 10s, episodes 27241, frames 2.5M, mean epr -1.62, run loss 178.99
time 01h 09m 10s, episodes 27393, frames 2.5M, mean epr -3.92, run loss 175.12
time 01h 10m 10s, episodes 27540, frames 2.6M, mean epr -2.89, run loss 183.30
time 01h 11m 10s, episodes 27668, frames 2.6M, mean epr -3.27, run loss 175.87
time 01h 12m 10s, episodes 27827, frames 2.6M, mean epr -3.54, run loss 172.93
time 01h 13m 10s, episodes 27974, frames 2.7M, mean epr -3.93, run loss 171.02
time 01h 14m 11s, episodes 28103, frames 2.7M, mean epr -3.73, run loss 183.64
time 01h 15m 11s, episodes 28240, frames 2.7M, mean epr -2.42, run loss 189.01
time 01h 16m 11s, episodes 28402, frames 2.8M, mean epr -3.73, run loss 160.09
time 01h 17m 11s, episodes 28538, frames 2.8M, mean epr -3.86, run loss 177.49
time 01h 18m 11s, episodes 28684, frames 2.9M, mean epr -2.77, run loss 198.64
time 01h 19m 11s, episodes 28824, frames 2.9M, mean epr -3.08, run loss 172.13
time 01h 20m 11s, episodes 28968, frames 2.9M, mean epr -2.98, run loss 167.17
time 01h 21m 11s, episodes 29111, frames 3.0M, mean epr -2.33, run loss 171.74
